user_id,nama,lokasi,total,gl,rl
1,GW-01,Southern Upstream of TSF02 near TSF rainfall,90,0.875,210
1,GW-02(A),Northeast Downstream of TSF01 near admin park area,21,0.534,204.647
1,GW-03,Northeast Dowstream of TSF01 near MKA Office,31,0.468,246.12
1,GW-04,North Downstream of TSF01 near GPM pump,33.5,0.395,205
1,GW-06,Between Koba SP and Toka Pit(Area 6),32,0.593,177.179
1,GW-07(A),Between Koba SP and Toka Pit near WTP,42.79,0.75,186.24
1,GW-14,Wineru,18,0.515,4.47
1,GW-15,Winuri,27,0.895,22.07
1,GW-16,Marinsow,100,0.895,108.7
1,GW-17,Pulisan,26,0.748,42.32
1,GW-18,Kalinaun,30,0.257,22.643
1,GW-19,Rinondoran/Resetlemen,27,0.552,40.023
1,GW-24(A),PSI Workshop,30,0.844,168.247
1,GW-25(A),Eastern Blambangan Pit (new point) near ex-post Juliet,92.42,0.87,120.3
1,GW-26,Right side road between Pinenek to Tinerungan,30,0.641,63.802
1,GW-27,Right side road between Pinenek to Tinerungan,22,0.641,63.802
1,GW-28,Southwest Upstream of TSF02,40,0.468,301.584
1,GW-29 New Well,Northeast Upstream of TSF01 near ex-post India,20,0.58,294.57
1,GW-30,Rompad/Tempat Pembuangan Sampah,49.58,0.7,230.8
1,GW-32,Kopra Road/ Kopra Waste dump,31.51,0.7,132.8
1,GW-33,Kopra Top Soil,57.65,0.8,204.7
1,GW-34,Araren WRE,40,0.8,93.8
1,GW-35,Toka Slope,40,0.52,176.1
1,GW-36,Below in pit pajajran,29.2,0.8,175
1,GW-37,Plantsite,65,0.8,190
1,GW-38,Pangisan DP 02,65,0.8,80
1,GW-39,Southwest Upstream of TSF02,65,0.8,286
1,GW-40,Eastern of TSF02 near Top Soil Bank,40,0.8,181
1,GW-41,Hilir TSF,40,0.8,84
1,GW-42,Sinter near Post Alpha,40,-,-
1,GW-43,Upstream Marawuwung Pit,40,-,-
